keyword_small,occurrences_small
transdisziplinarität,7
transformative forschung,7
biomarker,7
liposomes,7
glucocorticoids,7
resistance,7
raman spectroscopy,7
work environment,7
interleukin-1,7
methodology,7
mobility,7
qualitative forschung,7
emergency department,7
cladocera,7
chronic subdural hematoma,7
hematoma,7
cryo-em,7
lake sediment,7
nursing homes,7
daphnia,7
triage,7
transcriptome,7
metformin,7
earth observation,7
gwas,7
lymphocytes,7
rotation,7
immunotherapy,7
iridium,7
autoimmunity,7
emergency service,7
homer,7
neurosurgical procedures,7
ruthenium,7
ligands,7
job satisfaction,7
combination,7
auditory,7
base sequence,7
skeletal,7
political selection,7
multiprotein complexes,7
natalizumab,7
cell membrane,7
gamma-aminobutyric acid,7
cd,7
alleles,7
biopsy,7
infection and infectious agents,7
hematopoietic stem cells,7
psychological,7
proto-oncogene proteins c-akt,7
neoplasm staging,7
inhibitors,7
t-cell,7
regulatory,7
janus kinase 2,7
synovial membrane,7
jc virus,7
kaplan-meier estimate,7
support,7
nonparametric,7
tandem mass spectrometry,7
atrial natriuretic factor,7
nuclear magnetic resonance,7
biomolecular,7
thyroid neoplasms,7
tobacco mosaic virus,7
hyperthyroidism,7
2 `,7
emissions trading,6
covid-19,6
electricity,6
kenya,6
lung function,6
côte d'ivoire,6
mycobacterium tuberculosis,6
clinical trials,6
artemisinin,6
nursing home,6
shape optimization,6
exposure assessment,6
neogobius melanostomus,6
family,6
palladium,6
fitness,6
diabetes insipidus,6
coordination polymer,6
structure,6
history of science,6
vaccine hesitancy,6
polymersomes,6
time series,6
oncology,6
disclosure,6
self-management,6
palaeoclimate,6
rabies,6
soil-transmitted helminths,6
resilience,6
stable isotope analysis,6
knee,6
calcium,6
x-ray diffraction,6
prediction,6
virulence,6
cytotoxicity,6
discrimination,6
paleoclimatology,6
european union,6
hydropower,6
attitudes,6
schweiz,6
transdisziplinäre forschung,6
reallabore,6
drosophila,6
guidelines,6
human rights,6
content configuration analysis,6
nanomedicine,6
palliative care,6
imaging,6
training,6
transformation,6
intensive care,6
boundary element method,6
research,6
nanomedicines,6
multivariate analysis,6
intensive care units,6
pain,6
ritual,6
board of directors,6
influenza,6
ethiopia,6
alps,6
macrocycles,6
subdural,6
religion,6
social exclusion,6
fmri,6
neutropenia,6
inflammasome,6
insomnia,6
late-type,6
culture,6
learning,6
biocatalysis,6
mtorc2,6
review,6
signaling,6
digitalisierung,6
directed evolution,6
search,6
bioethics,6
immunomodulation,6
daphnia-magna,6
sex allocation,6
addiction,6
dynamics,6
remote sensing,6
depressive disorder,6
photometry,6
social media,6
methane,6
invertebrates,6
land use,6
immune response,6
wistar,6
microbial sensitivity tests,6
anti-inflammatory agents,6
macrostomum,6
nurses,6
patient satisfaction,6
natriuretic peptide,6
muscle,6
unternehmenskommunikation,6
kommunikationsmix,6
marketingkommunikation,6
knee joint,6
articular,6
insulin-secreting cells,6
interleukin-1beta,6
tumor virus infections,6
combined modality therapy,6
viremia,6
repressor proteins,6
neutrophils,6
amino acid substitution,6
physiological,6
innate immunity,6
motor activity,6
injuries,6
protein kinase inhibitors,6
interleukin-4,6
antagonists &,6
vascular endothelial growth factor a,6
airway remodeling,6
sequence analysis,6
viral load,6
neoplasm invasiveness,6
systemic,6
t-lymphocyte subsets,6
calcium channels,6
antineoplastic agents,6
plasmodesmata,6
psychological functioning,6
gel,6
escherichia coli infections,6
intracellular signaling peptides and proteins,6
drosophila melanogaster,6
th1 cells,6
nuclear proteins,6
neoplasm proteins,6
drug administration schedule,6
agonists,6
immunoenzyme techniques,6
chemical synthesis,6
electron,6
critical illness,6
oxidoreductases,6
6 `,6
2 ``-terpyridine,6
thyroid function tests,6
thyrotropin,6
thyroxine,6
inflammatory bowel disease,5
regulation,5
attention,5
cause of death,5
cell biology,5
molecular dynamics,5
health impact assessment,5
coordination network,5
crystallography,5
chirality,5
outcome,5
metastasis,5
c-di-gmp,5
bartonella,5
gis,5
collaboration,5
south africa,5
psychotherapy,5
erosion,5
biofilm,5
pediatric neurosurgery,5
traumatic brain injury,5
serum,5
self-efficacy,5
proportional hazards models,5
assessment,5
bronze age,5
zambia,5
sociology,5
polymerase chain reaction,5
gene therapy,5
monoclonal antibody,5
decentralization,5
ige,5
knowledge,5
policy,5
high performance computing,5
sport,5
practice,5
access,5
india,5
metabolic syndrome,5
angiogenesis,5
governance,5
vaccine,5
turnout,5
sample size,5
peacebuilding,5
methodik,5
praxisakteure,5
agency,5
working memory,5
replication,5
nicotine,5
psychiatry,5
streptavidin,5
comorbidity,5
gold,5
sappho,5
quality of care,5
glioma,5
phenology,5
sustainable consumption,5
drought,5
validation,5
sex differences,5
animal model,5
chromosomes,5
developmental biology,5
meningitis,5
allergy,5
lipids,5
synthetic biology,5
translational research,5
electrochemistry,5
decisions from experience,5
mood,5
n-alkanes,5
chemokines,5
melanoma,5
aspirin,5
outcome assessment (health care),5
interaction,5
transition,5
self-control,5
hepatitis c virus,5
homosexuality,5
pseudomonas aeruginosa,5
fatty acids,5
pragmatics,5
disc,5
law,5
weight loss,5
complement,5
conservation,5
management,5
protein engineering,5
rictor,5
biochemistry,5
adherence,5
cities,5
intervention,5
prednisone,5
implementation,5
mouse,5
aggression,5
alzheimer's disease,5
caregivers,5
heterogeneous innovations,5
numerical modeling,5
asset pricing,5
technological spillovers,5
optimal control,5
endogenous growth,5
feedback,5
gravitational waves,5
mental disorders,5
agb and post-agb,5
numerical,5
heuristics,5
capital structure,5
artificial metalloenzyme,5
energy transition,5
estradiol,5
groundwater,5
scanning probe microscopy,5
sperm competition,5
iliad,5
lake sediments,5
aneurysm,5
administration,5
higher education,5
circumstellar matter,5
astrochemistry,5
blood supply,5
rabbits,5
civil society,5
hypoglycemic agents,5
image processing,5
surveys and questionnaires,5
newborn,5
hospitals,5
major,5
public servants,5
dialogkommunikation,5
cadaver,5
neural stem cells,5
tor serine-threonine kinases,5
graft survival,5
placenta,5
registries,5
liver cirrhosis,5
th2 cells,5
mass screening,5
factor xii,5
tumor microenvironment,5
polyoma,5
protein isoforms,5
immunoassay,5
area under curve,5
neurites,5
spiral ganglion,5
xenograft model antitumor assays,5
logistic models,5
antigen presentation,5
lung neoplasms,5
epigenesis,5
down-regulation,5
killer cells,5
natural,5
autoantigens,5
complement c1q,5
lupus erythematosus,5
drug monitoring,5
hepatitis c,5
homeostasis,5
inflammation mediators,5
rent-seeking,5
influenza vaccines,5
nerve tissue proteins,5
longitudinal study,5
gaba,5
electrophoresis,5
magnetic resonance spectroscopy,5
cell culture techniques,5
mammary glands,5
l-type,5
leukocyte count,5
life satisfaction,5
protein-serine-threonine kinases,5
osteoarthritis,5
tumor necrosis factor-alpha,5
swine,5
clinical protocols,5
patient admission,5
transfer function,5
drosophila proteins,5
software,5
circular dichroism,5
protein conformation,5
shock,5
antithyroid agents,5
